,bikes_used,stations_built,trains_covered,train_stations_reward,daily_demand_met,daily_demand_met_percentage,budget_used,budget
0,120,4,0,0,120,0.049034583,200000,200000
1,180,6,0,0,180,0.073551875,300000,300000
2,236,9,1,60,296,0.120951972,399000,400000
3,296,11,0,0,296,0.120951972,499000,500000
4,353,14,1,60,413,0.168760691,599500,600000
5,403,19,2,100,503,0.205536628,699500,700000
6,457,20,2,100,557,0.227602191,785500,800000
7,513,26,1,60,573,0.234140135,899500,900000
8,570,29,1,60,630,0.257431562,1000000,1000000
9,620,34,2,100,720,0.2942075,1100000,1100000
10,670,39,2,100,770,0.314638576,1200000,1200000
11,720,44,2,100,820,0.335069652,1300000,1300000
12,816,55,1,40,856,0.349780027,1499000,1500000
13,770,49,2,100,870,0.355500729,1400000,1400000
14,860,62,1,40,900,0.367759374,1600000,1600000
15,900,70,1,40,940,0.384104236,1700000,1700000
16,942,77,2,70,1012,0.413524986,1798000,1800000
17,976,83,4,150,1126,0.46010784,1879000,1900000
18,1000,97,4,150,1150,0.469914756,1985000,2000000
