started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 00:00:24.811000+00:00,2021-08-01 00:12:23.647000+00:00,718,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871,252,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809
2021-08-01 00:23:25.832000+00:00,2021-08-01 00:52:21.453000+00:00,1735,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 00:24:21.764000+00:00,2021-08-01 00:52:17.435000+00:00,1675,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 00:26:26.758000+00:00,2021-08-01 00:30:31.694000+00:00,244,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-01 00:28:29.966000+00:00,2021-08-01 00:45:28.479000+00:00,1018,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-01 00:56:14.543000+00:00,2021-08-01 01:07:41.923000+00:00,687,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-08-01 02:15:56.540000+00:00,2021-08-01 02:38:39.488000+00:00,1362,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808
2021-08-01 02:19:05.415000+00:00,2021-08-01 02:25:04.099000+00:00,358,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-08-01 03:52:18.078000+00:00,2021-08-01 03:54:15.044000+00:00,116,289,Castle Street,Near Rose Street,55.95150073734976,-3.2031839065252825,289,Castle Street,Near Rose Street,55.95150073734976,-3.2031839065252825
2021-08-01 04:23:05.483000+00:00,2021-08-01 04:31:18.443000+00:00,492,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064,1770,Ellersly Road,Corner with A8 Corstorphine Road at Western Terrace,55.945045875212095,-3.250881447188249
2021-08-01 04:58:29.777000+00:00,2021-08-01 05:09:08.518000+00:00,638,289,Castle Street,Near Rose Street,55.95150073734976,-3.2031839065252825,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-08-01 05:10:57.506000+00:00,2021-08-01 05:22:41.938000+00:00,704,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
