,year,local_authority_id,pedal_cycles,longitude,latitude,geometry
1276,2018,29,114,-3.12196126,55.94298904,POINT (-347535.13773952675 7547074.747529315)
1277,2019,29,125,-3.12196126,55.94298904,POINT (-347535.13773952675 7547074.747529315)
1280,2022,29,104,-3.12196126,55.94298904,POINT (-347535.13773952675 7547074.747529315)
1281,2023,29,102,-3.12196126,55.94298904,POINT (-347535.13773952675 7547074.747529315)
1282,2024,29,104,-3.12196126,55.94298904,POINT (-347535.13773952675 7547074.747529315)
1386,2018,29,123,-3.29838145,55.9419292,POINT (-367174.1434559793 7546864.076923776)
1387,2019,29,135,-3.29838145,55.9419292,POINT (-367174.1434559793 7546864.076923776)
1390,2022,29,112,-3.29838145,55.9419292,POINT (-367174.1434559793 7546864.076923776)
1391,2023,29,111,-3.29838145,55.9419292,POINT (-367174.1434559793 7546864.076923776)
1392,2024,29,112,-3.29838145,55.9419292,POINT (-367174.1434559793 7546864.076923776)
1461,2018,29,220,-3.23799972,55.93123034,POINT (-360452.4800191624 7544737.72460359)
1462,2019,29,241,-3.23799972,55.93123034,POINT (-360452.4800191624 7544737.72460359)
1465,2022,29,240,-3.23799972,55.93123034,POINT (-360452.4800191624 7544737.72460359)
1466,2023,29,236,-3.23799972,55.93123034,POINT (-360452.4800191624 7544737.72460359)
1467,2024,29,239,-3.23799972,55.93123034,POINT (-360452.4800191624 7544737.72460359)
2381,2018,36,70,-3.16849043,55.88194999,POINT (-352714.7412509604 7534951.040866839)
2382,2019,36,77,-3.16849043,55.88194999,POINT (-352714.7412509604 7534951.040866839)
2385,2022,36,64,-3.16849043,55.88194999,POINT (-352714.7412509604 7534951.040866839)
2386,2023,36,63,-3.16849043,55.88194999,POINT (-352714.7412509604 7534951.040866839)
2387,2024,36,64,-3.16849043,55.88194999,POINT (-352714.7412509604 7534951.040866839)
4125,2018,29,119,-3.17936066,55.97673155,POINT (-353924.8097193662 7553784.959582749)
4126,2019,29,130,-3.17936066,55.97673155,POINT (-353924.8097193662 7553784.959582749)
4129,2022,29,109,-3.17936066,55.97673155,POINT (-353924.8097193662 7553784.959582749)
4130,2023,29,107,-3.17936066,55.97673155,POINT (-353924.8097193662 7553784.959582749)
4131,2024,29,256,-3.17960096,55.97672925,POINT (-353951.55979300383 7553784.501993285)
4150,2018,29,29,-3.31047144,55.95384138,POINT (-368519.9949864751 7549232.26254591)
4151,2019,29,32,-3.31047144,55.95384138,POINT (-368519.9949864751 7549232.26254591)
4154,2022,29,38,-3.31047144,55.95384138,POINT (-368519.9949864751 7549232.26254591)
4155,2023,29,37,-3.31047144,55.95384138,POINT (-368519.9949864751 7549232.26254591)
4156,2024,29,38,-3.31047144,55.95384138,POINT (-368519.9949864751 7549232.26254591)
5178,2018,36,22,-3.10895628,55.92437257,POINT (-346087.4299881501 7543375.081137051)
5179,2019,36,26,-3.10895628,55.92437257,POINT (-346087.4299881501 7543375.081137051)
5182,2022,36,24,-3.10895628,55.92437257,POINT (-346087.4299881501 7543375.081137051)
5183,2023,36,23,-3.10895628,55.92437257,POINT (-346087.4299881501 7543375.081137051)
5184,2024,36,22,-3.10895628,55.92437257,POINT (-346087.4299881501 7543375.081137051)
6779,2018,29,979,-3.18649072,55.9479107,POINT (-354718.5243678917 7548053.13027305)
6780,2019,29,1074,-3.18649072,55.9479107,POINT (-354718.5243678917 7548053.13027305)
6783,2022,29,808,-3.18632404,55.94769666,POINT (-354699.9696351662 7548010.578416265)
6784,2023,29,794,-3.18632404,55.94769666,POINT (-354699.9696351662 7548010.578416265)
6785,2024,29,803,-3.18632404,55.94769666,POINT (-354699.9696351662 7548010.578416265)
6886,2018,29,503,-3.21213135,55.9485599,POINT (-357572.8262431104 7548182.194809343)
6887,2019,29,552,-3.21213135,55.9485599,POINT (-357572.8262431104 7548182.194809343)
6890,2022,29,581,-3.21213135,55.9485599,POINT (-357572.8262431104 7548182.194809343)
6891,2023,29,571,-3.21213135,55.9485599,POINT (-357572.8262431104 7548182.194809343)
6892,2024,29,578,-3.21213135,55.9485599,POINT (-357572.8262431104 7548182.194809343)
6961,2018,29,60,-3.12142792,55.91293795,POINT (-347475.76660230703 7541103.5506139975)
6962,2019,29,73,-3.12142792,55.91293795,POINT (-347475.76660230703 7541103.5506139975)
6965,2022,29,68,-3.12142792,55.91293795,POINT (-347475.76660230703 7541103.5506139975)
6966,2023,29,64,-3.12142792,55.91293795,POINT (-347475.76660230703 7541103.5506139975)
6967,2024,29,62,-3.12142792,55.91293795,POINT (-347475.76660230703 7541103.5506139975)
7447,2018,29,66,-3.28967157,55.96119556,POINT (-366204.5640495088 7550694.664662956)
7448,2019,29,72,-3.28967157,55.96119556,POINT (-366204.5640495088 7550694.664662956)
7451,2022,29,59,-3.28967157,55.96119556,POINT (-366204.5640495088 7550694.664662956)
7452,2023,29,58,-3.28967157,55.96119556,POINT (-366204.5640495088 7550694.664662956)
7453,2024,29,58,-3.28967157,55.96119556,POINT (-366204.5640495088 7550694.664662956)
9794,2018,29,70,-3.21951195,55.97957542,POINT (-358394.43087685923 7554350.773855061)
9795,2019,29,77,-3.21951195,55.97957542,POINT (-358394.43087685923 7554350.773855061)
9798,2022,29,64,-3.21951195,55.97957542,POINT (-358394.43087685923 7554350.773855061)
9799,2023,29,63,-3.21951195,55.97957542,POINT (-358394.43087685923 7554350.773855061)
9800,2024,29,64,-3.21951195,55.97957542,POINT (-358394.43087685923 7554350.773855061)
12255,2018,29,125,-3.20194823,55.8938479,POINT (-356439.2465100236 7537312.732265221)
12256,2019,29,142,-3.20194823,55.8938479,POINT (-356439.2465100236 7537312.732265221)
12259,2022,29,157,-3.20194823,55.8938479,POINT (-356439.2465100236 7537312.732265221)
